Feature,Importance
Polydipsia,0.2194564605581582
Polyuria,0.20544426952606135
Gender,0.11011237065599752
Age,0.08487552393102815
sudden weight loss,0.07273943557584393
partial paresis,0.04865863854484751
Alopecia,0.04165885989732365
Irritability,0.031087906001250068
Polyphagia,0.030588463960166682
delayed healing,0.02985035962016741
Itching,0.02892083311731298
visual blurring,0.023445235345381524
muscle stiffness,0.022385205193797688
Genital thrush,0.021689410577163046
weakness,0.01508013752435922
Obesity,0.014006889971141034
